MatchID,Date,Team1,Team2,Winner,Venue,City,TossWinner,TossDecision,PlayerOfMatch
1512766,2026-02-26,India,Zimbabwe,India,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Zimbabwe,field,HH Pandya
1512767,2026-02-27,New Zealand,England,England,"R Premadasa Stadium, Colombo",Colombo,New Zealand,bat,WG Jacks
1512768,2026-02-28,Pakistan,Sri Lanka,Pakistan,Pallekele International Cricket Stadium,Kandy,Sri Lanka,field,Sahibzada Farhan
1512769,2026-03-01,Zimbabwe,South Africa,South Africa,"Arun Jaitley Stadium, Delhi",Delhi,Zimbabwe,bat,Sikandar Raza
1512770,2026-03-01,West Indies,India,India,"Eden Gardens, Kolkata",Kolkata,India,field,SV Samson
1512771,2026-03-04,South Africa,New Zealand,New Zealand,"Eden Gardens, Kolkata",Kolkata,New Zealand,field,FH Allen
1512772,2026-03-05,India,England,India,"Wankhede Stadium, Mumbai",Mumbai,England,field,SV Samson
1512773,2026-03-08,India,New Zealand,India,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,New Zealand,field,JJ Bumrah
682899,2014-03-16,Hong Kong,Nepal,Nepal,Zahur Ahmed Chowdhury Stadium,Chittagong,Hong Kong,field,SP Gauchan
682901,2014-03-17,Ireland,Zimbabwe,Ireland,Sylhet Stadium,,Ireland,field,PR Stirling
682903,2014-03-17,Netherlands,United Arab Emirates,Netherlands,Sylhet Stadium,,United Arab Emirates,bat,TLW Cooper
682907,2014-03-18,Bangladesh,Nepal,Bangladesh,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,field,Al-Amin Hossain
682909,2014-03-19,Netherlands,Zimbabwe,Zimbabwe,Sylhet Stadium,,Netherlands,bat,BRM Taylor
682911,2014-03-19,Ireland,United Arab Emirates,Ireland,Sylhet Stadium,,Ireland,field,EC Joyce
682915,2014-03-20,Bangladesh,Hong Kong,Hong Kong,Zahur Ahmed Chowdhury Stadium,Chittagong,Hong Kong,field,Nadeem Ahmed
682917,2014-03-21,United Arab Emirates,Zimbabwe,Zimbabwe,Sylhet Stadium,,Zimbabwe,field,E Chigumbura
682919,2014-03-21,Ireland,Netherlands,Netherlands,Sylhet Stadium,,Netherlands,field,SJ Myburgh
682921,2014-03-21,India,Pakistan,India,Shere Bangla National Stadium,Mirpur,India,field,A Mishra
682923,2014-03-22,South Africa,Sri Lanka,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Chittagong,Sri Lanka,bat,MDKJ Perera
682925,2014-03-22,England,New Zealand,New Zealand,Zahur Ahmed Chowdhury Stadium,Chattogram,New Zealand,field,CJ Anderson
682927,2014-03-23,Australia,Pakistan,Pakistan,Shere Bangla National Stadium,Mirpur,Australia,field,Umar Akmal
682929,2014-03-23,India,West Indies,India,Shere Bangla National Stadium,Mirpur,India,field,A Mishra
682931,2014-03-24,New Zealand,South Africa,South Africa,Zahur Ahmed Chowdhury Stadium,Chittagong,New Zealand,field,JP Duminy
682933,2014-03-24,Netherlands,Sri Lanka,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Chittagong,Sri Lanka,field,AD Mathews
682935,2014-03-25,Bangladesh,West Indies,West Indies,Shere Bangla National Stadium,Mirpur,Bangladesh,field,DR Smith
682937,2014-03-27,Netherlands,South Africa,South Africa,Zahur Ahmed Chowdhury Stadium,Chittagong,Netherlands,field,Imran Tahir
682939,2014-03-27,England,Sri Lanka,England,Zahur Ahmed Chowdhury Stadium,Chittagong,England,field,AD Hales
682941,2014-03-28,Australia,West Indies,West Indies,Shere Bangla National Stadium,Mirpur,Australia,bat,DJG Sammy
682943,2014-03-28,Bangladesh,India,India,Shere Bangla National Stadium,Mirpur,India,field,R Ashwin
682945,2014-03-29,Netherlands,New Zealand,New Zealand,Zahur Ahmed Chowdhury Stadium,Chittagong,New Zealand,field,BB McCullum
682947,2014-03-29,England,South Africa,South Africa,Zahur Ahmed Chowdhury Stadium,Chittagong,England,field,AB de Villiers
682949,2014-03-30,Bangladesh,Pakistan,Pakistan,Shere Bangla National Stadium,Mirpur,Pakistan,bat,Ahmed Shehzad
682951,2014-03-30,Australia,India,India,Shere Bangla National Stadium,Mirpur,Australia,field,R Ashwin
682953,2014-03-31,England,Netherlands,Netherlands,Zahur Ahmed Chowdhury Stadium,Chittagong,England,field,Mudassar Bukhari
682955,2014-03-31,New Zealand,Sri Lanka,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Chittagong,New Zealand,field,HMRKB Herath
682957,2014-04-01,Bangladesh,Australia,Australia,Shere Bangla National Stadium,Mirpur,Bangladesh,bat,AJ Finch
682959,2014-04-01,Pakistan,West Indies,West Indies,Shere Bangla National Stadium,Mirpur,West Indies,bat,DJ Bravo
682961,2014-04-03,Sri Lanka,West Indies,Sri Lanka,Shere Bangla National Stadium,Mirpur,Sri Lanka,bat,AD Mathews
682963,2014-04-04,India,South Africa,India,Shere Bangla National Stadium,Mirpur,South Africa,bat,V Kohli
682965,2014-04-06,India,Sri Lanka,Sri Lanka,Shere Bangla National Stadium,Mirpur,Sri Lanka,field,KC Sangakkara
951309,2016-03-09,Bangladesh,Netherlands,Bangladesh,Himachal Pradesh Cricket Association Stadium,Dharamsala,Netherlands,field,Tamim Iqbal
951311,2016-03-09,Ireland,Oman,Oman,Himachal Pradesh Cricket Association Stadium,Dharamsala,Ireland,bat,Amir Ali
951313,2016-03-10,Scotland,Zimbabwe,Zimbabwe,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Zimbabwe,bat,WP Masakadza
951319,2016-03-11,Bangladesh,Ireland,,Himachal Pradesh Cricket Association Stadium,Dharamsala,Ireland,field,
951323,2016-03-12,Hong Kong,Scotland,Scotland,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Hong Kong,bat,MW Machan
951325,2016-03-13,Ireland,Netherlands,Netherlands,Himachal Pradesh Cricket Association Stadium,Dharamsala,Ireland,field,PA van Meekeren
